"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1438","POST /GenerateToken - generate token successfully","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","1595","POST /Authorized - wrong password","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","2754","DELETE /User/{UUID} - delete user with invalid token","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","1251","POST /Authorized - authorized successfully","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","1210","POST /User - create user with existing username","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","30","GET /books - get all books","api","2026-03-25","passed","2026-03-25","Bookstore API","api/bookstore.spec.ts","",""
"","2066","POST /User - create user successfully","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","35","GET /User/{UUID} - user not found","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","2809","POST /GenerateToken - wrong username","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","6146","DELETE /User/{UUID} - delete user successfully","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","458","POST /User - create user with weak password","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","2444","POST /GenerateToken - wrong password","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
"","3337","POST /books - add book successfully","api","2026-03-25","passed","2026-03-25","Bookstore API","api/bookstore.spec.ts","",""
"","1848","POST /books - add book duplicated","api","2026-03-25","passed","2026-03-25","Bookstore API","api/bookstore.spec.ts","",""
"","6171","GET /User/{UUID} - get user successfully","api","2026-03-25","passed","2026-03-25","Account API","api/account.spec.ts","",""
